Sequence No.,Site No.,round No.,Camera ID No.,Camera make/model,Date set-up,Time set-up,Days out,Height (cm),Date Taken Down,Time Taken Down,Notes,Longitude,Latitude,Eastings,Northings,Key,Team Colour,checked,first notes,second notes,Finished = 1; out = 2; repeat = 3,,,,,,
1,17,1,MRI800,Reconyx 800,18/04/2018,11:55,13,38,01/05/2018,17:58,"By pond, fence corner, by large tree",-0.165205,51.5596121,527280,186111,399,Grey,26_4,"Changed batteries, saved images and cleared SD card (8GB card)",complete record from 26/4 - a bit of over exposure from leaf,1,,,,,,
2,16,1,LHW18-13,BrowningSFP,18/04/2018,12:11,13,42,01/05/2018,18:03,Small group of trees,-0.167435871,51.55953206,527133,186108,399,Grey,26_4,complete record  w hogs!,hedgehog,1,,,,,,
3,29,1,CC4500,Reconyx 500,18/04/2018,12:35,14,43,02/05/2018,13:15,Off to the right of trail,-0.167435871,51.56084837,527129,186254,399,Grey,complete record,,,1,,,,,,
4,44,1,LHW18-9,BrowningSFP,18/04/2018,12:55,14,56,02/05/2018,12:23,Off path by fallen tree,-0.167435871,51.56216468,527126,186401,399,Grey,complete record,mouse and more mouse!,,1,,,,,,
5,53,1,MR5800,Reconyx 800,18/04/2018,13:14,2,37,20/04/2018,17:00,In clearing off the path,-0.165317647,51.56216468,527272,186404,399,Grey,stopped working on 20/4,replace?,,1,,,,,,
6,30,1,LHW18-7,BrowningSFP,18/04/2018,13:27,14,37,02/05/2018,12:06,Wooded area near patch of ivy,-0.165317647,51.56084837,527276,186258,399,Grey,complete record,,,1,,,,,,
7,19,1,BC8500,Reconyx 500,18/04/2018,11:40,13,36,01/05/2018,17:46,In bushes to left of path on tree stump,-0.1612,51.5598,527564,186148,399,Red,26_4,"2000+ images, 37% battery",two hedgehogs in one image,1,,,,,,
8,32,1,LHW18-8,BrowningSFP,18/04/2018,11:57,13,34,01/05/2018,17:35,In hawthorne clump,-0.1607,51.5608,527596,186261,399,Red,26_4,"32GB card full, replaced card with one of Adrian's",date seems completely wrong… time is right!,1,,,,,,
9,46,1,LHW18-2,BrowningSFP,18/04/2018,12:15,13,30,01/05/2018,afternoon,In hawthorne bushes beyond large tree,-0.1614,51.5632,527541,186526,399,Red,26_4,Saved images and cleared card,date seems completely wrong… not sure about the time,1,,,,,,
10,45,1,LHW18-1 ,BrowningSFP,18/04/2018,12:40,14,32,02/05/2018,12:01,On wiggly tree in bushes south of marker,-0.163199423,51.56216468,527419,186408,399,Red,complete record,over exposed with veg but okay - cleared at some stage!,,1,,,,,,
11,31,1,CC1500,Reconyx 500,18/04/2018,12:57,14,35,02/05/2018,11:52,On small beech tree in clearing ,-0.1635,51.5609,527402,186267,399,Red,complete record,,hedgehog,1,,,,,,
12,18,1,IOZ2680,Reconyx 500,18/04/2018,13:15,13,48,01/05/2018,17:55,Near gate into back garden and bridge over gully,-0.1633,51.5597,527405,186133,399,Red,26_4,"1000+ images, 84% battery",hedgehog - IMG_2334?,1,,,,,,
13,3,1,MR7800,Reconyx 800,18/04/2018,11:00,13,36,01/05/2018,14:11,On ash tree by the wall,0.1594981," 
51.5567652",527728,185830,399,Blue,23_4,2000+ images cganged sd card,hedgehog,1,,,,,,
14,4,1,IOZ6600,Reconyx 500,18/04/2018,11:50,13,45,01/05/2018,14:46,Opposite playground - gated area,0.1570352,51.5569361,527857,185839,399,Blue,23_4,700 photos batt ok,,1,,,,,,
15,5,1,MR12800,Reconyx 800,18/04/2018,12:00,13,39,01/05/2018,14:48,Corner of running track and playground,-0.1540721,51.5570779,528036,185833,399,Blue,23_4,,,1,,,,,,
16,13,1,BC10500,Reconyx 500,18/04/2018,12:17,13,38,01/05/2018,15:05,In thick shrubs to the north,-0.154504,51.558603,528032,186027,399,Blue,26_4,"67% battery, 2000+ images, saved images and cleared card",hedgehog,1,,,,,,
17,12,1,LHW18-3,BrowningSFP,18/04/2018,12:37,13,37,01/05/2018,15:46,In thick shrubs further north,-0.156764,51.55907,527874,186075,399,Blue,26_4,,hedgehog,1,,,,,,
18,11,1,LHW18-6,BrowningSFP,18/04/2018,13:00,13,35,01/05/2018,14:28,On single tree in middle of the meadow,0.159419,51.5580456,527689,185960,399,Blue,26_4,"100% battery, 1000+ images, saved images and cleared card",hedgehog,1,,,,,,
19,1,1,P800DD,Reconyx 800,18/04/2018,13:30,5,45,23/04/2018,11:30,On tree between path - tilted on the 20/4/18,-0.1503573,51.5556865,527695,185707,399,Blue,23_4,all okay - not turned on when reset..,,1,,,,,,
20,7,1,LHW18-10,BrowningSFP,18/04/2018,13:45,13,36,01/05/2018,15:30,"In education garden, looking to west",-0.1505947," 
51.5568577",528300,185846,399,Blue,23_4,"~1000 images, battery still 100%",hedgehog,1,,,,,,
21,6,1,IOZ1500,Reconyx 500,21/04/2018,13:55,10,41,01/05/2018,15:34,Tree to south of point near path,-0.1520853,51.5566076,528204,185806,399,Blue,23_4,23k photos.. Batt change - hedgehogs,lost 18 to20 - copy error,1,,,,,,
22,14,1,BC5500,Reconyx 500,18/04/2018,14:10,13,25,01/05/2018,15:17,"In hedgeline near point, P110 key; relocked and padlock 112",-0.1525419,51.5582073,528169,185986,399,Blue,26_4,"Changed batteries, SD card 0% full, wasn't fully inserted, don't know if it popped out while checking or if its been out the whole time",hedgehog,1,,,,,,
23,21,1,LHW18-4,BrowningSFP,18/04/2018,11:50,13,35,01/05/2018,16:01,"Facing downhill towards athletics track, 20 m east of point, on younger tree",-0.1562913,51.5596651,527905,186142,399,Yellow,26_4,,hedgehog,1,,,,,,
24,20,1,IOZAI600,Reconyx 500,18/04/2018,12:10,13,40,01/05/2018,15:56,Facing uphill,-0.1583962,51.5593975,527760,186109,399,Yellow,26_4,,hedgehog,1,,,,,,
25,33,1,MR9800,Reconyx 800,18/04/2018,12:23,13,36,01/05/2018,17:40,"Tree facing down to little clearing, in wooded area",-0.1593309,51.5611396,527690,186301,399,Yellow,26_4,Changed batteries - complete record,hedgehog,1,,,,,,
26,48,1,LHW18-?,BrowningSFP,18/04/2018,12:51,13,35,01/05/2018,16:56,"Small tree by path, facing meadow",-0.1571345,51.5621578,527840,186418,399,Yellow,26_4,"100% battery, 32GB card was full, now has one of Adrian's cards in",,1,,,,,,
27,47,1,IOZ4600,Reconyx 500,18/04/2018,13:05,13,30,01/05/2018,17:23,"Tree to left of path as it goes up, facing meadow",-0.1595187,51.5619569,527675,186391,399,Yellow,26_4,all records from 26_4,,1,,,,,,
28,34,1,IOZ5500,Reconyx 500,18/04/2018,13:23,13,30,01/05/2018,18:43,Clump of trees facing downhill,-0.1576435,51.5603501,527809,186216,399,Yellow,,camera doesn’t seem to be working properly - rerun,hedgehog,1,,,,,,
29,64,1,TRP1801,BrowningSFP,19/04/2018,12:00,12,30,01/05/2018,17:05,Past gate (jump fence or need a key if locked) tree on right before pond,-0.156844751,51.563481,527856,186565,294,Purple,26_4,low to no batteries but complete record,,1,,,,,,
30,63,1,TRP1804,BrowningSFP,19/04/2018,12:22,12,30,01/05/2018,17:17,Small tree by path next to fallen tree. Top of camera is not labelled with '63'. ,-0.158962975,51.563481,527709,186562,295,Purple,26_4,12 behind - ?,,1,,,,,,
31,62,1,TRP1899,BrowningSFP,19/04/2018,12:30,13,50,02/05/2018,09:44,Small tree in field,-0.161081199,51.563481,527562,186558,296,Purple,complete record,,,1,,,,,,
32,61,1,TRP1818,BrowningSFP,19/04/2018,12:50,13,41,02/05/2018,09:38,"In iron gated area (padlocked, will need a key)",-0.163199423,51.563481,527416,186554,297,Purple,odd record very few photos - too low to record much,,,1,,,,,,
33,77,1,TRP1803,BrowningSFP,19/04/2018,13:05,13,40,02/05/2018,09:04,Off path in vegetation,-0.163199423,51.56479731,527412,186701,298,Purple,hedgehogs ,set 12 hours late - low placement?,,1,,,,,,
34,78,1,TRP1813,BrowningSFP,19/04/2018,13:15,13,41,02/05/2018,08:53,In cluster of trees,-0.161081199,51.56479731,527559,186704,299,Purple,complete record,vegetation causing false triggers,,1,,,,,,
35,79,1,TRP1802,BrowningSFP,19/04/2018,13:30,13,77,02/05/2018,08:43,"Bit higher than others on tree branch, angled downwards, NW of MB pond",-0.158962975,51.56479731,527706,186708,300,Purple,,complete record,quite low,1,,,,,,
36,74,1,TRP1808,BrowningSFP,19/04/2018,11:50,14,30,03/05/2018,15:35,"Batteries 50%, on birch",-0.169554095,51.56479731,526972,186690,?,Orange,,complete record,no real night images?,1,,,,,,
37,75,1,TRP1812,BrowningSFP,19/04/2018,12:12,14,30,03/05/2018,12:20:00,Battery 85%,-0.167435871,51.56479731,527118,186693,?,Orange,,complete record,lots of mice,1,,,,,,
38,76,1,TRP1814,BrowningSFP,19/04/2018,12:40,13,30,02/05/2018,,Battery 60%,-0.1653176,51.5647973,527265,186697,?,Orange,,,,1,,,,,,
39,58,1,LHW17-1,BrowningSFP,19/04/2018,13:15,14,30,03/05/2018,12:23,Battery 61%,-0.169554095,51.563481,526975,186543,?,Orange,,complete record,hedgehog,1,,,,,,
40,43,1,TRP1820,BrowningSFP,19/04/2018,13:30,13,30,02/05/2018,12:31,Battery 61%,-0.169554095,51.56216468,526979,186397,?,Orange,very few records but probably the site,tilted down too limited view - repeat,,1,,,,,,
41,59,1,LHW18-2,BrowningSFP,19/04/2018,17:40,13,35,02/05/2018,09:18,In holly grove on hawthorn. Key P478,-0.165317647,51.563481,-,-,-,Orange,complete record,,,1,,,,,,
42,60,1,TRP1809,BrowningSFP,19/04/2018,17:25,13,40,02/05/2018,09:30,On tree to south of point near dead trees. Key 115,-0.1653009,51.563922,-,-,-,Orange,complete record,hedgehog,,1,,,,,,
43,89,1,TRP1801,BrowningSFP,19/04/2018,12:00,14,35,03/05/2018,,Tree south east of point - outside line,-0.1711005,51.5658856,526861,186808,288,Brown,,,,1,,,,,,
44,72,1,LHW18-10,BrowningSFP,19/04/2018,12:20,14,40,03/05/2018,12:03,Tree north west of point,-0.1739225,51.1568102,527798,141313,258 or 529,Brown,,complete record,,1,,,,,,
45,73,1,LHW18-8,BrowningSFP,19/04/2018,12:40,14,35,03/05/2018,12:14,,-0.171596,51.5648246,526830,186689,529,Brown,,complete record,,1,,,,,,
46,57,1,LHW18-5,BrowningSFP,19/04/2018,12:58,14,-,03/05/2018,12:20,,-0.171672318,51.563481,526828,186540,288,Brown,,complete record,hedgehog,1,,,,,,
47,56,1,IOZ8600,Reconyx 500,19/04/2018,13:25,14,45,03/05/2018,12:10,"10 metres from bench, near glade, young oak near path",-0.173790542,51.563481,526682,186536,258 or 529,Brown,,complete record,hedgehog,1,,,,,,
48,41,1,CC3500,Reconyx 500,19/04/2018,13:40,13,50,02/05/2018,13:24,20 yards on from redwood,-0.173790542,51.56216468,526685,186390,258 or 529,Brown,complete record,colour odd during day but fine_no code in image_hedgehogs,,1,,,,,,
49,42,1,MR11800,Reconyx 800,19/04/2018,13:50,13,-,02/05/2018,13:15,"Gnarled tree, just by path, up from ditch next to meadow",-0.171672318,51.56216468,526832,186393,258 or 529,Brown,hedgehogs not tons of photos fine!,hedgehog,,1,,,,,,
50,23,1,TRP187,BrowningSFP,19/04/2018,11:42,12,44,01/05/2018,16:12,TRP1815,-0.152608304,51.55953206,528161,186134,294,Black,ok,43% ~2000 photos,,1,,,,,,
51,22,1,LHW18-12,BrowningSFP,19/04/2018,12:06,12,40,01/05/2018,16:00,Need to ID camera,-0.154726528,51.55953206,528014,186130,?,Black,26_4,,,1,,,,,,
52,24,1,TRP1817,BrowningSFP,19/04/2018,12:15,12,50,01/05/2018,16:20,Fruit tree by court,-0.1503211," 
51.5596096",528308,186137,288,Black,ok,43%~1700,,1,,,,,,
53,37,1,TRP1811,BrowningSFP,19/04/2018,12:26,12,41,01/05/2018,16:33,25m north on green post,-0.1507181," 
51.5610435",528304,186284,adlock 112; 151,Black,ok no lock,50%; 700photos: 12 hours ahead,,1,,,,,,
54,36,1,TRP1819,BrowningSFP,19/04/2018,12:35,12,50,01/05/2018,16:28,"double cable lock, replace cable with padlock",-0.1531018,51.5606483,528157,186280,?,Black,23_4,,,1,,,,,,
55,35,1,TRP187,BrowningSFP,19/04/2018,12:54,5,50,24/04/2018,,very visible beside big trail," 
-0.1549384"," 
51.5610401",528010,186276,?,Black,"tampered with, but okay, repositioned and calibrated",not turned on second time,hedgehog,1,,,,,,
56,49,1,TRP1806,BrowningSFP,19/04/2018,13:08,12,40,01/05/2018,16:45,End of locked area,-0.154726528,51.56216468,528007,186423,?,Black,hedgehogs ,,,1,,,,,,
57,2,1,BC4500,Reconyx 500,19/04/2018,11:00,12,50,01/05/2018,18:23,Path along from spillway on top of dam,-0.165,51.556,,,,Green,26_4,a bit high - until 26/4/18,,1,,,,,,
58,10,1,MR6800,Reconyx 800,19/04/2018,11:40,12,30,01/05/2018,,Silver birch beside stake on causeway,-0.165,51.558,,,,Green,26_4,,hedgehog,1,,,,,,
59,9,1,CC-5-500,Reconyx 500,19/04/2018,12:00,12,40,01/05/2018,18:05,"North of point, near path",-0.1677625,51.5587886,,,,Green,26_4,Was on gate of car park gate however due to reconstruction work have repositioned and recalibrated.,complete record from 26/4,1,,,,,,
60,8,1,IOZ201500,Reconyx 500,19/04/2018,12:20,12,25,01/05/2018,18:27,"Preacher's hill, coppiced willow tree, south of point",-0.169,51.557,,,,Green,26_4,complete record lots of hogs!,hedgehog,1,,,,,,
61,15,1,10Z-4-600,Reconyx 600,19/04/2018,12:30,12,40,01/05/2018,18:09,"Path opposite Heathside, split tree to right of path in Pryor's Field",-0.1695786,51.5590329,,,,Green,26_4,odd record with not many photos but seems complete,,1,,,,,,
62,28,1,CC-2-500,Reconyx 500,19/04/2018,13:12,13,45,02/05/2018,12:48,"Between Lime Avenue and edge of Pryor's - one of three Silver Birch, 3 paths converge",-0.169,51.561,,,,Green,complete record,but too high until 27/4/18,,1,,,,,,
63,27,1,10Z-7-600,Reconyx 600,19/04/2018,12:37,13,30,02/05/2018,,"Beside dead hedge, hazel sapling",-0.171,51.560,,,,Green,incomplete camera faulty,hedgehog,,1,,,,,,
64,26,1,MR10800,Reconyx 800,19/04/2018,16:45,13,30,02/05/2018,13:05,"Forgot measuring stick! Close to path through woods, parallel to main path, leaning dead tree",-0.173,51.560,,,,Green,complete record,not many photos,adjusted on the 26th?,1,,,,,,
65,94,2,IOZ3600,Reconyx 600,23/04/2018,13:22,17,38,10/05/2018,13:55,next to metal fence behind bramble,-0.16108,51.56611,,,399,new,hedgehogs ,,,1,,,,,,
66,93,2,IOZ3RH600,Reconyx 600,23/04/2018,13:30,10,40,03/05/2018,11:27,tree stump facing up side trail,-0.16319,51.56611,,,399,new,worked but on time lapse!,paper copy says taken down 05/02/2018,timer,1,,,,,,
67,86,1,CC3500,Reconyx 500,03/05/2018,14:51,13,58,16/05/2018,11:52,"On point, tree by path, near pile of holly",-0.178,51.566,,,399,Blue,11/05/2018,"okay, 10% battery-changed now 80%, SD 0% full",,1,,,,,,
68,101,1,LHW189,BrowningSFP,03/05/2018,15:02,13,56,16/05/2018,12:13,"Next to pond, on/south of point",-0.178,51.5671,,,399,Blue,11/05/2018,"okay, 100% battery ,SD swapped",hedgehog,1,,,,,,
69,100,1,LHW1813,BrowningSFP,03/05/2018,15:29,13,30,16/05/2018,12:07,"Follow forest path near fence, on  point",-0.1801,51.5673,,,399,Blue,11/05/2018,"okay, 100% battery, swapped SD",,1,,,,,,
70,85,1,LHW187,BrowningSFP,03/05/2018,15:40,13,32,16/05/2018,11:59,"Just off forest path intersection, near holly, south of point",-0.1801,51.566,,,399, Blue,11/05/2018,"okay, 100% battery, SD 5.1% full",hedgehog,1,,,,,,
71,69,1,LHW18CAM01,BrowningSFP,03/05/2018,15:52,13,57,16/05/2018,11:25,"Just off path, in between road and meadow clearing, on point",-0.1801,51.5648,,,399,Blue,,,,1,,,,,,
72,55,1,MR10800,Reconyx 800,03/05/2018,16:03,13,60,16/05/2018,11:18,"20 m from road on ivy covered hawthorn tree, NW of point, other side of road",-0.1804,51.5636,,,399,Blue,,,,1,,,,,,
73,70,1,TRP1820,BrowningSFP,03/05/2018,16:23,13,55,16/05/2018,11:23,"Off path from road, access from road, North of point",-0.178,51.5652,,,399,Blue,11/05/2018,"okay, 58% battery, SD 1.4% full",,1,,,,,,
74,51,1,MR12800,Reconyx 800,03/05/2018,14:50,14,40,17/05/2018,14:44,No coordinates given,-0.1864999,51.563481,,,399,Red,,complete record no foxes?,,1,,,,,,
75,52,1,LHW186,browningSFP,03/05/2018,15:10,14,25,17/05/2018,12:17,"To SE of point, no coords given",-0.184381662,51.563481,,,399,Red,,complete record but confusion over number seems to be 52 not 39,,1,,,,,,
76,54,1,IOZ7600,Reconyx 600,03/05/2018,15:22,14,35,17/05/2018,12:07,"Adjacent to path, near crossroads, no coords",-0.182263438,51.563481,,,399,Red,,complete record,,1,,,,,,
77,40,1,CC4500,Reconyx 500,03/05/2018,15:35,14,50,17/05/2018,12:25,"Against fence, no coords",-0.180145214,51.56216468,,,399,Red,,complete record hedgehog,,1,,,,,,
78,39,1,CC2500,Reconyx 500,03/05/2018,15:53,14,50,17/05/2018,15:56,"Slightly SE of point, no coords",-0.182263438,51.56216468,,,399,Red,,complete record hedgehog,,1,,,,,,
79,38,1,IOZ6600,Reconyx 600,03/05/2018,16:05,14,35,17/05/2018,11:12,No coords given,-0.184381662,51.56216468,,,399,Red,,upsidedown but otherwise fine,,1,,,,,,
80,25,1,TRP1819,browningSFP,03/05/2018,16:20,14,30,17/05/2018,12:37,"S/SW of point at edge of grass, no coords given",-0.182263438,51.56084837,,,399,Red,,complete record,good placement,1,,,,,,
81,35,2,IOZ18CAM04,BrowningSFP,14/05/2018,17:28,6,,20/05/2018,16:48,"Across the trail from point - correct point on map, time taken down was 13:11",-0.1544275,51.5610456,,,399,new,needs hight/calibration,batteries 50-60%,"second placement, not complete 6 days",1,,,,,,
82,34,2,IOZ18CAM03,BrowningSFP,14/05/2018,17:41,12,,26/05/2018,19:35,small hawthorn flowering,-0.1571999,51.5605812,,,399,new,needs hight/calibration,batteries 50-60%,"second placement, complete",1,,,,,,
