SourceFile,species1,Human.Presence,contact,species2,species3,Sp
100_HH_11_5_18100_BTCF_T/IMG_0318.JPG,Human,,1.0,,,
100_HH_11_5_18100_BTCF_T/IMG_0321.JPG,Human,,1.0,,,
100_HH_11_5_18100_BTCF_T/IMG_0322.JPG,Human,,,,,
100_HH_11_5_18100_BTCF_T/IMG_0325.JPG,Human,,2.0,Human,,
100_HH_11_5_18100_BTCF_T/IMG_0326.JPG,Human,,,,,
100_HH_11_5_18100_BTCF_T/IMG_0337.JPG,Human,,1.0,,,
100_HH_11_5_18100_BTCF_T/IMG_0338.JPG,Human,,2.0,Human,,
100_HH_11_5_18100_BTCF_T/IMG_0339.JPG,Human,,,,,
100_HH_11_5_18100_BTCF_T/IMG_0340.JPG,Human,,,,,
100_HH_11_5_18100_BTCF_T/IMG_0341.JPG,Human,,,,,
100_HH_11_5_18100_BTCF_T/IMG_0342.JPG,Human,,,,,
100_HH_11_5_18100_BTCF_T/IMG_0362.JPG,Human,,1.0,,,
100_HH_11_5_18100_BTCF_T/IMG_0363.JPG,Human,,,,,
100_HH_11_5_18100_BTCF_T/IMG_0365.JPG,Human,,,,,
100_HH_11_5_18100_BTCF_T/IMG_0366.JPG,Human,,,,,
100_HH_11_5_18100_BTCF_T/IMG_0367.JPG,Human,,,,,
100_HH_11_5_18100_BTCF_T/IMG_0368.JPG,Human,,,,,
100_HH_11_5_18100_BTCF_T/IMG_0559.JPG,Human,,,,,
100_HH_11_5_18100_BTCF_T/IMG_0560.JPG,Human,,1.0,,,
100_HH_16_5_18_T/100_BTCF/IMG_0038.JPG,Human,,1.0,,,
100_HH_16_5_18_T/100_BTCF/IMG_0051.JPG,Human,,2.0,Human,,
100_HH_16_5_18_T/100_BTCF/IMG_0060.JPG,Human,,2.0,Human,,
100_HH_16_5_18_T/100_BTCF/IMG_0089.JPG,Human,,2.0,Human,,
100_HH_16_5_18_T/100_BTCF/IMG_0115.JPG,Human,,1.0,,,
100_HH_16_5_18_T/100_BTCF/IMG_0127.JPG,Human,,2.0,Dog,,
100_HH_16_5_18_T/100_BTCF/IMG_0148.JPG,Human,,1.0,,,
100_HH_16_5_18_T/100_BTCF/IMG_0149.JPG,Human,,1.0,,,
100_HH_16_5_18_T/100_BTCF/IMG_0151.JPG,Human,,,,,
100_HH_16_5_18_T/100_BTCF/IMG_0153.JPG,Human,,,,,
100_HH_16_5_18_T/100_BTCF/IMG_0155.JPG,Human,,,,,
100_HH_16_5_18_T/100_BTCF/IMG_0156.JPG,Human,,2.0,Human,,
100_HH_16_5_18_T/100_BTCF/IMG_0157.JPG,Human,,,Human,,
100_HH_16_5_18_T/100_BTCF/IMG_0158.JPG,Human,,,Human,,
100_HH_16_5_18_T/100_BTCF/IMG_0159.JPG,Human,,,Human,,
100_HH_16_5_18_T/100_BTCF/IMG_0160.JPG,Human,,,Human,,
100_HH_16_5_18_T/100_BTCF/IMG_0161.JPG,Human,,,,,
100_HH_16_5_18_T/100_BTCF/IMG_0162.JPG,Human,,,,,
106_HH_31_5_18_T/100RECNX/IMG_0111.JPG,Human,,1.0,,,
106_HH_31_5_18_T/100RECNX/IMG_0461.JPG,Human,,1.0,,,
106_HH_31_5_18_T/100RECNX/IMG_0462.JPG,Human,,,,,
106_HH_31_5_18_T/100RECNX/IMG_0463.JPG,Human,,,,,
106_HH_31_5_18_T/100RECNX/IMG_0464.JPG,Human,,,,,
109_HH_1_6_18_T/100_BTCF/IMG_0339.JPG,Human,,,,,
109_HH_1_6_18_T/100_BTCF/IMG_0340.JPG,Human,,1.0,,,
109_HH_1_6_18_T/100_BTCF/IMG_0342.JPG,Human,,,Dog,,
109_HH_1_6_18_T/100_BTCF/IMG_0343.JPG,Human,,,Dog,,
109_HH_1_6_18_T/100_BTCF/IMG_0344.JPG,Human,,,Dog,,
109_HH_1_6_18_T/100_BTCF/IMG_0345.JPG,Human,,,Dog,,
109_HH_1_6_18_T/100_BTCF/IMG_0346.JPG,Human,,,Dog,,
109_HH_1_6_18_T/100_BTCF/IMG_0347.JPG,Human,,,Dog,,
109_HH_1_6_18_T/100_BTCF/IMG_0348.JPG,Human,,,Dog,,
109_HH_1_6_18_T/100_BTCF/IMG_0349.JPG,Human,,,Dog,,
109_HH_1_6_18_T/100_BTCF/IMG_0350.JPG,Human,,,Dog,,
