Folder,ImageId,SourceFile,Count,CreateDate,h,placeID
115_11_20_7_18_BTCF/,3832,115_11_20_7_18_BTCF/IMG_3832.JPG,1,2018:06:23 16:26:02,16.0,115
96_HH_15_06_18/100RECNX/,6531,96_HH_15_06_18/100RECNX/IMG_6531.JPG,3,2018:06:10 18:35:46,18.0,96
149_HH_05_06_18/DCIM/100_BTCF/,4348,149_HH_05_06_18/DCIM/100_BTCF/IMG_4348.JPG,1,2018:05:20 17:26:24,17.0,149
46_HH_26_4_18/DCIM/100_BTCF/,1603,46_HH_26_4_18/DCIM/100_BTCF/IMG_1603.JPG,1,2017:04:22 16:00:42,16.0,46
142_HH_16_5_18_onsdcard/100RECNX/,0155,142_HH_16_5_18_onsdcard/100RECNX/IMG_0155.JPG,1,2018:05:14 10:18:26,10.0,142
60_HH_2_5_18_BTCF/,1015,60_HH_2_5_18_BTCF/IMG_1015.JPG,1,2018:04:25 13:51:04,13.0,60
97_HH_15_06_18/101RECNX/,6782,97_HH_15_06_18/101RECNX/IMG_6782.JPG,1,2018:06:10 18:18:19,18.0,97
47_HH_1_5_18_DCIM/101RECNX/,3060,47_HH_1_5_18_DCIM/101RECNX/IMG_3060.JPG,1,2018:04:30 14:11:19,14.0,47
79_HH_05_06_18/DCIM/100_BTCF/,1748,79_HH_05_06_18/DCIM/100_BTCF/IMG_1748.JPG,1,2018:05:16 14:40:45,14.0,79
6_HH_1_5_18_DCIM/100RECNX/,5321,6_HH_1_5_18_DCIM/100RECNX/IMG_5321.JPG,2,2018:04:28 09:21:53,9.0,6
34_HH_1_6_18/100_BTCF/,2507,34_HH_1_6_18/100_BTCF/IMG_2507.JPG,1,2018:05:19 16:15:11,16.0,34
87_HH_22_06_18/DCIM/100_BTCF/,3419,87_HH_22_06_18/DCIM/100_BTCF/IMG_3419.JPG,3,2018:06:07  13:41:55,13.0,87
101_HH_11_5_18100_BTCF100_BTCF/,1041,101_HH_11_5_18100_BTCF100_BTCF/IMG_1041.JPG,1,2018:05:06 16:27:17,16.0,101
36_HH_1_5_18_DCIM/100_BTCF/,0119,36_HH_1_5_18_DCIM/100_BTCF/IMG_0119.JPG,1,2018:04:24 13:38:37,13.0,36
96_HH_15_06_18/100RECNX/,6701,96_HH_15_06_18/100RECNX/IMG_6701.JPG,1,2018:06:10 19:48:37,19.0,96
61_HH_1_6_18_T/100_BTCF/,0812,61_HH_1_6_18_T/100_BTCF/IMG_0812.JPG,1,2018:05:17 17:34:36,17.0,61
32_HH_1_5_18_101_BTCF/,1535,32_HH_1_5_18_101_BTCF/IMG_1535.JPG,1,2017:07:29 13:06:04,13.0,32
115_11_20_7_18_BTCF/,3759,115_11_20_7_18_BTCF/IMG_3759.JPG,1,2018:06:23 16:16:59,16.0,115
97_HH_15_06_18/100RECNX/,9311,97_HH_15_06_18/100RECNX/IMG_9311.JPG,1,2018:06:09 14:06:01,14.0,97
46_HH_26_4_18/DCIM/100_BTCF/,2245,46_HH_26_4_18/DCIM/100_BTCF/IMG_2245.JPG,1,2017:04:26 10:07:32,10.0,46
87_HH_22_06_18/DCIM/100_BTCF/,4124,87_HH_22_06_18/DCIM/100_BTCF/IMG_4124.JPG,1,2018:06:10  15:20:43,15.0,87
96_HH_15_06_18/100RECNX/,5871,96_HH_15_06_18/100RECNX/IMG_5871.JPG,2,2018:06:10 16:06:28,16.0,96
97_HH_15_06_18/101RECNX/,5132,97_HH_15_06_18/101RECNX/IMG_5132.JPG,2,2018:06:10 16:10:36,16.0,97
72_HH_2_5_18_BTCF/,2598,72_HH_2_5_18_BTCF/IMG_2598.JPG,2,2018:04:22 11:49:02,11.0,72
24_HH_23_4_18_DCIM/100_BTCF/,1164,24_HH_23_4_18_DCIM/100_BTCF/IMG_1164.JPG,1,2018:04:20 15:51:29,15.0,24
13_HH_1_5_18_DCIM/100RECNX/,0061,13_HH_1_5_18_DCIM/100RECNX/IMG_0061.JPG,1,2018:04:26 21:06:59,21.0,13
21_HH_23_4_18_DCIM/100_BTCF/,0141,21_HH_23_4_18_DCIM/100_BTCF/IMG_0141.JPG,1,2017:04:19 14:48:48,14.0,21
47_HH_1_5_18_DCIM/101RECNX/,2438,47_HH_1_5_18_DCIM/101RECNX/IMG_2438.JPG,1,2018:04:29 14:16:02,14.0,47
97_HH_15_06_18/100RECNX/,7520,97_HH_15_06_18/100RECNX/IMG_7520.JPG,1,2018:06:08 16:21:03,16.0,97
87_HH_22_06_18/DCIM/100_BTCF/,1973,87_HH_22_06_18/DCIM/100_BTCF/IMG_1973.JPG,1,2018:06:05  13:40:51,13.0,87
141_HH_16_5_18/100RECNX/,1786,141_HH_16_5_18/100RECNX/IMG_1786.JPG,1,2018:05:05 15:30:47,15.0,141
98_HH_15_06_18/100RECNX/,2771,98_HH_15_06_18/100RECNX/IMG_2771.JPG,1,2018:06:10 20:21:27,20.0,98
72_HH_2_5_18_BTCF/,2665,72_HH_2_5_18_BTCF/IMG_2665.JPG,3,2018:04:22 13:47:50,13.0,72
