Photo;Date and Time;Exp. Time;F/Stop;Exp. Program;Exp. Bias;Metering Mode;Light Source;Flash;Focal Length;Focal Length (35 mm);ISO Speed;Orientation;Dimensions;File Size;Path;Tags

IMG_0001;02/05/2018  12:19:13;1/120;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;179 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0001.JPG;placeID: 111
IMG_0002;02/05/2018  12:19:14;1/393;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;162 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0002.JPG;placeID: 111
IMG_0003;02/05/2018  12:19:16;1/393;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;157 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0003.JPG;placeID: 111
IMG_0004;02/05/2018  12:19:16;1/508;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;138 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0004.JPG;placeID: 111
IMG_0005;02/05/2018  12:19:17;1/240;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;166 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0005.JPG;placeID: 111
IMG_0006;02/05/2018  12:19:19;1/102;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;277 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0006.JPG;placeID: 111
IMG_0007;02/05/2018  12:19:20;1/108;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;337 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0007.JPG;placeID: 111
IMG_0009;02/05/2018  12:19:22;1/108;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;350 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0009.JPG;placeID: 111
IMG_0008;02/05/2018  12:19:22;1/108;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;325 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0008.JPG;placeID: 111
IMG_0010;02/05/2018  12:19:23;1/108;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;321 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0010.JPG;placeID: 111
IMG_0011;02/05/2018  12:19:24;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;629 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0011.JPG;placeID: 111
IMG_0013;02/05/2018  12:19:27;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;642 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0013.JPG;placeID: 111
IMG_0012;02/05/2018  12:19:27;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;632 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0012.JPG;placeID: 111
IMG_0014;02/05/2018  12:19:28;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;625 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0014.JPG;placeID: 111
