Photo;Date and Time;Exp. Time;F/Stop;Exp. Program;Exp. Bias;Metering Mode;Light Source;Flash;Focal Length;Focal Length (35 mm);ISO Speed;Orientation;Dimensions;File Size;Path;Tags

IMG_0002;03/05/2018  17:14:23;1/30;-;-;-;-;-;Not fired, auto mode;-;-;320;-;2048 x 1536;285 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0002.JPG;placeID: 82
IMG_0001;03/05/2018  17:14:23;1/30;-;-;-;-;-;Not fired, auto mode;-;-;320;-;2048 x 1536;288 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0001.JPG;placeID: 82
IMG_0003;03/05/2018  17:14:24;1/30;-;-;-;-;-;Not fired, auto mode;-;-;320;-;2048 x 1536;273 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0003.JPG;placeID: 82
IMG_0005;03/05/2018  17:14:25;1/30;-;-;-;-;-;Not fired, auto mode;-;-;320;-;2048 x 1536;281 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0005.JPG;placeID: 82
IMG_0004;03/05/2018  17:14:25;1/30;-;-;-;-;-;Not fired, auto mode;-;-;320;-;2048 x 1536;280 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0004.JPG;placeID: 82
IMG_0006;03/05/2018  17:14:26;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;863 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0006.JPG;placeID: 82
IMG_0007;03/05/2018  17:14:28;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;860 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0007.JPG;placeID: 82
IMG_0008;03/05/2018  17:14:29;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;853 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0008.JPG;placeID: 82
IMG_0009;03/05/2018  17:14:30;1/120;-;-;-;-;-;Not fired, auto mode;-;-;64;-;2048 x 1536;883 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0009.JPG;placeID: 82
IMG_0010;03/05/2018  17:14:31;1/120;-;-;-;-;-;Not fired, auto mode;-;-;64;-;2048 x 1536;880 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0010.JPG;placeID: 82
IMG_0011;03/05/2018  17:15:00;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;411 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0011.JPG;placeID: 82
IMG_0012;03/05/2018  17:15:02;1/30;-;-;-;-;-;Not fired, auto mode;-;-;640;-;2048 x 1536;408 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0012.JPG;placeID: 82
IMG_0013;03/05/2018  17:15:03;1/120;-;-;-;-;-;Not fired, auto mode;-;-;64;-;2048 x 1536;816 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0013.JPG;placeID: 82
IMG_0014;03/05/2018  17:15:05;1/120;-;-;-;-;-;Not fired, auto mode;-;-;64;-;2048 x 1536;807 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0014.JPG;placeID: 82
IMG_0015;03/05/2018  17:15:06;1/120;-;-;-;-;-;Not fired, auto mode;-;-;64;-;2048 x 1536;800 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0015.JPG;placeID: 82
IMG_0016;03/05/2018  17:15:07;1/120;-;-;-;-;-;Not fired, auto mode;-;-;64;-;2048 x 1536;797 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0016.JPG;placeID: 82
IMG_0017;03/05/2018  17:15:08;1/120;-;-;-;-;-;Not fired, auto mode;-;-;80;-;2048 x 1536;833 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0017.JPG;placeID: 82
IMG_0018;03/05/2018  17:15:09;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;399 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0018.JPG;placeID: 82
IMG_0019;03/05/2018  17:15:10;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;404 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0019.JPG;placeID: 82
IMG_0020;03/05/2018  17:15:11;1/30;-;-;-;-;-;Not fired, auto mode;-;-;500;-;2048 x 1536;365 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0020.JPG;placeID: 82
IMG_0021;03/05/2018  17:15:18;1/30;-;-;-;-;-;Not fired, auto mode;-;-;500;-;2048 x 1536;287 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0021.JPG;placeID: 82
IMG_0022;03/05/2018  17:15:19;1/30;-;-;-;-;-;Not fired, auto mode;-;-;500;-;2048 x 1536;306 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0022.JPG;placeID: 82
IMG_0023;03/05/2018  17:15:20;1/30;-;-;-;-;-;Not fired, auto mode;-;-;500;-;2048 x 1536;293 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0023.JPG;placeID: 82
IMG_0024;03/05/2018  17:15:20;1/30;-;-;-;-;-;Not fired, auto mode;-;-;500;-;2048 x 1536;310 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0024.JPG;placeID: 82
IMG_0025;03/05/2018  17:15:21;1/120;-;-;-;-;-;Not fired, auto mode;-;-;64;-;2048 x 1536;766 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0025.JPG;placeID: 82
IMG_0026;03/05/2018  17:15:23;1/120;-;-;-;-;-;Not fired, auto mode;-;-;64;-;2048 x 1536;869 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0026.JPG;placeID: 82
IMG_0027;03/05/2018  17:15:24;1/120;-;-;-;-;-;Not fired, auto mode;-;-;64;-;2048 x 1536;865 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0027.JPG;placeID: 82
IMG_0028;03/05/2018  17:15:25;1/120;-;-;-;-;-;Not fired, auto mode;-;-;64;-;2048 x 1536;861 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0028.JPG;placeID: 82
IMG_0029;03/05/2018  17:15:26;1/120;-;-;-;-;-;Not fired, auto mode;-;-;64;-;2048 x 1536;856 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0029.JPG;placeID: 82
IMG_0030;03/05/2018  17:15:27;1/120;-;-;-;-;-;Not fired, auto mode;-;-;64;-;2048 x 1536;853 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0030.JPG;placeID: 82
IMG_0031;03/05/2018  17:16:02;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;392 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0031.JPG;placeID: 82
IMG_0032;03/05/2018  17:16:03;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;398 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0032.JPG;placeID: 82
IMG_0033;03/05/2018  17:16:04;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;388 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0033.JPG;placeID: 82
IMG_0034;03/05/2018  17:16:07;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;347 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0034.JPG;placeID: 82
IMG_0036;03/05/2018  17:16:09;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;413 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0036.JPG;placeID: 82
IMG_0035;03/05/2018  17:16:09;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;332 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0035.JPG;placeID: 82
IMG_0037;03/05/2018  17:16:10;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;397 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0037.JPG;placeID: 82
IMG_0038;03/05/2018  17:16:11;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;409 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0038.JPG;placeID: 82
IMG_0040;03/05/2018  17:16:12;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;407 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0040.JPG;placeID: 82
IMG_0039;03/05/2018  17:16:12;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;404 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0039.JPG;placeID: 82
IMG_0041;03/05/2018  17:16:13;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;351 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0041.JPG;placeID: 82
IMG_0043;03/05/2018  17:16:14;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;127 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0043.JPG;placeID: 82
IMG_0042;03/05/2018  17:16:14;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;214 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0042.JPG;placeID: 82
IMG_0044;03/05/2018  17:16:15;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;111 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0044.JPG;placeID: 82
IMG_0046;03/05/2018  17:16:16;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;376 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0046.JPG;placeID: 82
IMG_0045;03/05/2018  17:16:16;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;112 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0045.JPG;placeID: 82
IMG_0047;03/05/2018  17:16:17;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;406 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0047.JPG;placeID: 82
IMG_0049;03/05/2018  17:16:18;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;387 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0049.JPG;placeID: 82
IMG_0048;03/05/2018  17:16:18;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;385 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0048.JPG;placeID: 82
IMG_0050;03/05/2018  17:16:19;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;382 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0050.JPG;placeID: 82
IMG_0051;03/05/2018  17:16:20;1/30;-;-;-;-;-;Not fired, auto mode;-;-;320;-;2048 x 1536;450 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0051.JPG;placeID: 82
IMG_0052;03/05/2018  17:16:22;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;394 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0052.JPG;placeID: 82
IMG_0053;03/05/2018  17:16:23;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;384 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0053.JPG;placeID: 82
IMG_0054;03/05/2018  17:16:24;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;374 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0054.JPG;placeID: 82
IMG_0056;03/05/2018  17:16:25;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;385 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0056.JPG;placeID: 82
IMG_0055;03/05/2018  17:16:25;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;372 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0055.JPG;placeID: 82
